Potential low-contrast / near-uniform images (lowest std first):
path, mean, std, min, max
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn979.jpeg, 32.65, 34.48, 0, 247
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3685.jpeg, 20.13, 35.12, 0, 244
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn4853.jpeg, 30.76, 36.45, 0, 241
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3466.jpeg, 48.72, 37.65, 0, 242
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn2825.jpeg, 39.85, 38.33, 0, 242
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3855.jpeg, 36.25, 39.68, 0, 245
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn2075.jpeg, 24.58, 39.79, 0, 244
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn4205.jpeg, 46.15, 40.01, 0, 249
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn1319.jpeg, 48.06, 40.06, 0, 248
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3994.jpeg, 35.46, 40.16, 0, 247
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3280.jpeg, 31.06, 40.26, 0, 242
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn1037.jpeg, 39.75, 40.29, 0, 248
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn1589.jpeg, 45.51, 40.66, 0, 242
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn345.jpeg, 45.90, 40.93, 0, 247
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn407.jpeg, 30.17, 41.04, 0, 245
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn2135.jpeg, 32.63, 41.22, 0, 243
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3178.jpeg, 30.95, 41.36, 0, 245
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn4748.jpeg, 40.79, 41.38, 0, 247
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn1461.jpeg, 35.16, 41.52, 0, 244
C:/MIT/elo2/individual_project/2_data_preparation/Colon_Benign_Tissue_invert_contrast1p2/colonn3948.jpeg, 39.32, 41.57, 0, 244
